"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.145018398E0,-1.579081714E-1,-2.585673332E-2,4.486846924E-1,4.763627971E-1
1.149698971E0,-1.384143531E-1,-6.748604774E-2,4.580945969E-1,4.832841395E-1
1.154379492E0,-1.423584521E-1,-6.813526154E-2,4.143400192E-1,4.433801916E-1
1.159060065E0,-1.837304831E-1,-6.359410286E-2,3.437976837E-1,3.949657550E-1
1.163740638E0,-2.074155211E-1,-4.351377487E-3,2.895965576E-1,3.562391038E-1
1.168421159E0,-2.327019274E-1,-2.429246902E-3,2.730760574E-1,3.587849236E-1
1.173101731E0,-3.000612855E-1,3.008174896E-2,2.560815811E-1,3.956254072E-1
1.177782304E0,-3.072924018E-1,1.434254646E-2,2.982492447E-1,4.284704667E-1
1.182462825E0,-3.195046782E-1,-4.752397537E-2,3.446769714E-1,4.723811833E-1
1.187143398E0,-3.394615650E-1,-5.265069008E-2,3.119010925E-1,4.639919620E-1
1.191823971E0,-4.049182534E-1,-7.109808922E-2,2.290010452E-1,4.705902772E-1
1.196504492E0,-4.180571735E-1,-9.325456619E-2,1.962757111E-1,4.711606617E-1
1.201185065E0,-4.503770173E-1,-8.643364906E-2,1.684083939E-1,4.885402957E-1
1.205865638E0,-4.733827710E-1,-6.035995483E-2,1.573247910E-1,5.024795139E-1
1.210546159E0,-4.922014475E-1,-6.985616684E-2,1.605758667E-1,5.224239255E-1
1.215226731E0,-4.999002516E-1,-9.097528458E-2,1.518993378E-1,5.303302488E-1
1.219907304E0,-4.942049682E-1,-7.380986214E-2,1.409254074E-1,5.191785982E-1
1.224587825E0,-4.747729003E-1,-4.795384407E-2,1.087779999E-1,4.894298022E-1
1.229268398E0,-4.656756222E-1,6.489038467E-3,1.173086166E-1,4.802678464E-1
1.233948971E0,-4.880751967E-1,7.248568535E-2,9.966564178E-2,5.033932979E-1
1.238629492E0,-5.012606382E-1,1.335747242E-1,1.083202362E-1,5.299412307E-1
1.243310065E0,-4.813122749E-1,1.812765598E-1,1.094064713E-1,5.258255158E-1
1.247990638E0,-4.597217441E-1,2.170896530E-1,1.104326248E-1,5.202570173E-1
1.252671159E0,-4.313573241E-1,2.647614479E-1,5.445384979E-2,5.090510653E-1
1.257351731E0,-3.914811611E-1,3.264861107E-1,1.552104950E-2,5.099917479E-1
1.262032252E0,-3.803524673E-1,3.524742126E-1,-4.451751709E-2,5.204689033E-1
1.266712825E0,-3.502045572E-1,3.666458130E-1,-1.207160950E-1,5.211955100E-1
1.271393398E0,-3.485527039E-1,4.164443016E-1,-1.986846924E-1,5.782650350E-1
1.276073919E0,-3.327696323E-1,4.687070847E-1,-2.903385162E-1,6.439863457E-1
1.280754492E0,-3.242015243E-1,5.275866985E-1,-3.479795456E-1,7.103126896E-1
1.285435065E0,-3.014011681E-1,5.950148106E-1,-4.168901443E-1,7.865638444E-1
1.290115586E0,-3.028056324E-1,7.092916965E-1,-4.472246170E-1,8.915132191E-1
1.294796159E0,-2.947939634E-1,7.649643421E-1,-4.534072876E-1,9.368308780E-1
1.299476731E0,-2.868558764E-1,8.023993969E-1,-4.996042252E-1,9.877932313E-1
1.304157252E0,-2.531092167E-1,8.627061844E-1,-5.120582581E-1,1.034664146E0
1.308837825E0,-2.453451157E-1,9.068338871E-1,-5.905332565E-1,1.109626717E0
1.313518398E0,-2.157697976E-1,9.520587921E-1,-6.539268494E-1,1.174986329E0
1.318198919E0,-1.504425555E-1,9.793536663E-1,-6.216745377E-1,1.169720393E0
1.322879492E0,-8.959209919E-2,1.000217199E0,-6.202335358E-1,1.180318105E0
1.327560065E0,-8.782853186E-2,9.961400032E-1,-6.328287125E-1,1.183419172E0
1.332240586E0,-8.485414088E-2,9.883873463E-1,-6.545391083E-1,1.188499565E0
1.336921159E0,-7.596500218E-2,9.962661266E-1,-6.497621536E-1,1.191850550E0
1.341601731E0,-1.134239435E-1,9.533097744E-1,-6.282262802E-1,1.147315465E0
1.346282252E0,-1.402135193E-1,9.599282742E-1,-5.806407928E-1,1.130604198E0
1.350962825E0,-1.783190221E-1,9.474415779E-1,-5.191974640E-1,1.094992796E0
1.355643398E0,-2.089940310E-1,9.065248966E-1,-4.748477936E-1,1.044483758E0
1.360323919E0,-2.587381005E-1,9.302115440E-1,-4.427547455E-1,1.062200869E0
1.365004492E0,-3.277678788E-1,9.638009071E-1,-4.537553787E-1,1.114557273E0
1.369685065E0,-3.733391166E-1,9.643990993E-1,-4.718732834E-1,1.136711095E0
1.374365586E0,-4.553153515E-1,9.849457741E-1,-4.876642227E-1,1.189641392E0
