t;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
1901;-0.8650054;3.050849;8.330612;-0.19708025;-0.16447534;0.07009673;15.918751;-24.993752;-29.00625
1910;-0.8566305;3.0987053;8.513663;-0.2578613;-0.13423753;0.035582874;15.806251;-24.7875;-29.23125
1919;-0.8315059;3.1154552;8.691928;-0.3161989;-0.12873976;0.003817905;15.76875;-24.6375;-29.306252
1929;-0.7537391;3.0735807;8.883354;-0.36659524;-0.14798199;-0.024281874;15.7875;-24.35625;-29.268751
1938;-0.695115;3.0245278;9.085547;-0.4078286;-0.18707734;-0.05054906;15.656251;-24.45;-29.362501
1947;-0.66999036;3.001796;9.296116;-0.4426479;-0.2328922;-0.07925971;15.656251;-24.13125;-29.306252
1957;-0.64606214;3.0065815;9.501899;-0.46922052;-0.27748534;-0.10827578;15.262501;-24.281252;-29.7
1966;-0.6723832;3.0053852;9.690931;-0.48754644;-0.31322092;-0.13545926;15.187501;-24.112501;-30.075
1975;-0.7118647;2.9886355;9.803394;-0.49243337;-0.33796093;-0.16172644;14.793751;-24.150002;-30.16875
1985;-0.78723866;2.9958138;9.82493;-0.48601928;-0.34376416;-0.18646647;14.625001;-24.187502;-30.16875
1994;-0.86859465;3.0149565;9.743574;-0.46494445;-0.32268932;-0.20601414;14.56875;-24.056252;-30.243752
2004;-1.018146;3.0293136;9.622736;-0.4344012;-0.26435173;-0.21823144;14.56875;-24.093752;-30.281252
2013;-1.1736795;3.0400813;9.538987;-0.39622217;-0.18188499;-0.2206749;14.437501;-24.13125;-30.16875
2022;-1.3172488;3.0436704;9.568898;-0.3568214;-0.10613775;-0.21395539;14.3625;-24.281252;-30.337502
2032;-1.4955142;3.056831;9.767502;-0.3259727;-0.07498365;-0.20601414;14.38125;-24.112501;-30.150002
2041;-1.6606189;3.0735807;10.153943;-0.3116174;-0.113162704;-0.2093739;14.19375;-24.431252;-30.000002
2050;-1.7551354;3.1429725;10.65165;-0.31467173;-0.22617269;-0.22525638;14.606251;-24.281252;-29.925001
2060;-1.6953149;3.1477582;11.160125;-0.33208138;-0.39752024;-0.24785839;14.625001;-24.2625;-29.718752
2069;-1.4524434;3.0879376;11.583654;-0.34888014;-0.5871938;-0.26648977;14.475;-24.281252;-29.737501
2078;-1.1880364;3.0293136;11.871989;-0.35529423;-0.7509055;-0.2698495;14.175;-24.300001;-29.8875
2088;-0.95712906;3.071188;12.068201;-0.33910632;-0.83703744;-0.25121814;14.418751;-24.0375;-30.206251
2097;-0.76689965;3.2063823;12.062219;-0.2917643;-0.8205441;-0.21823144;14.55;-23.79375;-30.225
2107;-0.5096712;3.4169507;11.75833;-0.2022726;-0.7023418;-0.16814053;14.606251;-23.643751;-30.281252
2116;-0.1268196;3.4360933;11.536994;-0.075212725;-0.4790707;-0.09636392;14.587501;-23.5125;-30.337502
2125;0.15074782;3.1812577;11.399407;0.07017309;-0.2234238;-0.013897174;14.531251;-23.34375;-30.50625
2135;0.2943172;3.054438;11.064412;0.2070068;-0.061239194;0.0368046;14.231251;-23.23125;-30.937502
2144;0.31944183;3.2267213;10.609776;0.30169085;0.009010255;0.03252855;14.156251;-23.1375;-31.0125
2153;0.33738798;3.455236;10.329815;0.34781113;0.055435978;-0.0050396346;14.2875;-22.875;-30.806252
2163;0.3397808;3.5449667;10.314262;0.3502546;0.082924895;-0.046273008;13.837501;-23.025002;-30.6375
2172;0.33260235;3.5006995;10.4016;0.30474517;0.062460925;-0.08628465;13.5375;-23.19375;-30.581251
2181;0.317049;3.3690944;10.534402;0.2164752;-0.021532983;-0.14217877;13.406251;-23.2875;-30.50625
2191;0.357727;3.1752756;10.705488;0.09155336;-0.1424842;-0.22281294;13.125001;-23.625;-30.31875
2200;0.33140594;2.9240294;10.962717;-0.05688678;-0.27137667;-0.32482734;12.900001;-23.85;-30.150002
2210;0.23449662;2.6464617;11.364711;-0.21143557;-0.38347036;-0.43997535;12.937501;-24.093752;-29.775002
